1,2,2,2,1,8,8,5,2,8,7,9,2,9,3,9,Q
3,3,4,5,4,8,7,7,3,6,5,9,3,8,5,9,Q
5,9,6,7,5,7,7,8,5,5,7,9,3,6,5,9,G
5,7,6,6,5,8,4,4,4,9,3,8,3,7,5,7,Q
5,9,7,7,5,7,5,9,5,8,5,11,4,8,4,8,O
3,3,4,5,2,3,8,6,11,7,5,14,0,8,7,7,E
1,0,2,1,0,7,4,2,0,7,2,8,2,7,1,8,A
4,9,5,7,4,7,6,8,4,7,5,9,3,8,3,8,O
4,11,7,8,6,10,3,1,2,8,3,9,5,5,3,7,A
8,15,6,8,5,9,5,5,3,9,6,9,5,9,8,8,Q
2,3,3,4,2,7,8,5,1,7,8,10,2,9,5,8,Q
5,7,7,6,6,5,8,3,5,7,8,11,7,9,3,8,C
5,8,5,6,4,7,9,7,4,10,8,6,4,9,4,9,O
6,7,6,9,7,8,5,6,3,9,5,11,5,7,7,5,Q
6,8,8,7,8,7,8,5,3,7,7,9,7,11,7,8,G
3,5,5,4,2,7,2,1,2,6,2,8,3,5,3,7,A
3,7,4,5,3,8,7,6,4,9,5,8,3,8,3,8,O
2,2,3,3,2,8,7,7,4,7,6,8,2,8,3,8,O
3,6,5,4,4,6,6,3,4,8,6,11,5,9,3,8,C
2,4,3,3,1,5,9,5,6,12,9,10,1,10,2,7,C
10,15,7,8,5,7,7,4,5,10,6,8,3,9,8,9,G
5,10,6,7,5,6,5,6,7,6,6,10,3,9,4,7,G
3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,E
4,5,6,7,3,9,8,9,8,6,7,10,3,8,4,8,Q
2,1,2,1,1,8,6,6,6,6,5,9,1,7,5,10,Q
5,5,7,8,9,8,7,5,1,6,6,9,9,12,7,13,Q
8,14,5,8,4,6,6,6,3,9,7,9,5,9,5,8,C
3,5,4,6,4,8,7,7,3,8,6,9,2,9,3,8,Q
3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,A
2,2,4,3,2,8,3,2,3,8,1,8,2,6,2,7,A
2,3,4,4,1,9,5,3,1,8,1,8,2,7,2,8,A
4,7,5,5,4,7,9,8,4,7,8,8,3,8,3,8,O
2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,G
6,10,7,8,3,8,7,8,8,6,6,9,2,7,6,11,G
3,3,4,4,3,8,7,6,2,8,7,9,2,9,4,8,Q
4,7,6,6,4,8,5,3,4,8,3,7,3,7,5,9,Q
3,1,5,3,2,8,2,2,2,7,1,8,2,7,2,7,A
3,7,4,5,4,7,7,5,8,6,5,10,2,8,5,9,E
4,10,6,7,4,7,7,7,6,5,7,8,2,7,4,8,G
6,10,6,8,3,3,9,6,8,12,11,11,1,8,2,6,C
4,9,6,7,4,7,5,3,0,6,1,8,2,7,1,7,A
6,10,6,8,3,5,9,7,8,13,9,7,2,11,2,7,O
4,6,6,4,4,10,6,1,7,11,4,8,3,8,4,11,E
1,3,2,2,1,7,7,4,4,9,7,10,2,8,3,10,G
10,15,7,8,4,7,7,5,5,8,4,7,5,9,6,8,O
