5,9,6,7,1,0,5,G
8,12,7,8,2,1,4,C
6,9,7,7,3,2,4,G
5,11,6,7,6,7,9,C
6,10,10,7,4,3,4,G
5,9,6,7,3,4,5,G
1,8,7,6,3,1,1,A
10,14,7,9,4,4,6,E
7,8,11,6,4,4,5,E
4,10,11,6,4,2,8,E
6,12,7,7,0,0,5,E
0,8,7,4,1,0,1,A
2,11,11,2,9,6,5,A
5,10,11,6,8,5,7,E
6,11,10,7,2,2,4,G
0,8,7,4,2,1,2,A
7,14,8,8,4,3,4,C
2,9,9,3,3,4,3,A
9,9,11,10,6,5,5,E
3,8,7,7,4,5,8,A
5,11,7,6,6,8,4,C
7,10,10,7,5,3,4,G
3,7,4,3,5,6,5,A
3,8,7,8,5,7,7,G
5,10,9,7,5,4,4,G
5,10,6,6,5,4,4,G
3,8,8,2,3,3,3,A
9,10,7,7,4,5,6,E
6,11,8,8,2,1,3,C
11,15,7,7,4,3,7,E
5,10,12,8,1,1,2,C
1,12,11,0,6,3,3,A
4,9,9,7,2,1,4,G
1,8,7,5,4,2,2,A
11,15,7,7,4,3,7,E
6,9,6,6,2,1,5,G
3,14,12,0,8,4,5,A
5,7,6,6,4,4,4,G
5,10,9,7,2,1,4,G
2,9,10,3,2,1,2,A
9,10,6,5,5,3,6,G
4,9,9,7,3,3,5,G
2,9,7,6,6,7,8,E
2,9,9,3,3,3,2,A
6,10,6,6,3,2,4,G
4,11,7,6,5,7,3,C
3,10,6,7,4,7,6,C
11,14,7,7,5,2,4,C
10,14,7,6,3,2,7,E
8,9,11,7,2,2,4,E
9,8,11,9,3,3,4,E
5,6,9,7,7,4,5,G
10,14,7,7,3,2,7,E
7,9,7,7,2,3,5,E
9,10,6,8,4,6,6,E
4,9,7,4,7,8,9,E
6,10,10,7,1,1,4,E
6,9,6,7,3,2,4,G
0,8,7,4,1,0,1,A
3,8,7,8,6,7,9,G
10,9,5,8,3,3,6,E
4,8,7,8,5,6,5,A
3,11,6,9,4,5,7,E
7,9,11,8,8,2,5,C
6,8,7,7,1,2,5,E
2,9,11,3,2,1,2,A
8,9,11,8,5,5,5,E
5,9,8,10,6,8,9,E
2,9,11,3,3,3,2,A
3,8,7,2,4,4,3,A
7,8,12,10,7,2,5,C
2,11,9,6,5,4,7,C
7,8,10,8,7,2,7,E
10,14,7,8,4,2,7,E
8,12,9,8,6,2,7,E
7,12,11,8,3,1,2,C
6,9,12,10,2,1,2,C
7,11,10,6,7,5,5,G
6,10,10,7,3,2,4,G
7,14,9,8,4,3,3,C
8,13,9,8,3,2,4,C
9,13,8,7,5,5,4,C
3,9,6,9,3,5,6,G
6,9,5,7,4,5,6,G
3,8,9,6,8,5,8,G
7,8,7,7,2,2,5,E
0,8,6,4,3,3,1,A
1,9,9,2,1,1,2,A
3,8,7,7,4,6,8,E
5,8,6,10,6,7,7,G
2,10,6,6,6,8,7,G
9,14,7,7,2,0,4,C
7,9,7,7,2,2,5,E
1,10,12,2,6,4,3,A
9,14,7,7,1,0,4,C
8,9,11,8,2,2,4,E
7,14,10,8,7,5,4,C
4,7,3,5,5,6,7,A
2,9,11,2,4,3,3,A
3,7,8,3,5,4,3,A
6,10,6,7,2,2,3,G
3,10,8,4,4,5,7,E
11,14,7,8,4,3,7,E
10,14,7,6,2,2,7,E
2,9,8,3,4,5,3,A
7,8,11,6,5,6,5,E
1,12,11,1,7,4,4,A
2,7,5,3,3,3,2,A
6,8,6,6,4,3,4,G
7,9,11,9,3,3,4,E
8,8,7,7,3,4,6,E
12,14,7,9,4,3,8,E
2,11,6,9,4,6,8,E
7,9,11,8,3,3,5,E
5,9,6,8,2,2,5,G
2,8,6,2,3,2,2,A
8,10,6,6,5,3,6,G
3,9,10,2,3,4,3,A
1,8,6,5,2,2,2,A
6,15,8,8,6,5,6,C
7,9,7,7,3,3,6,E
12,15,7,8,5,3,7,E
5,10,9,7,3,2,4,G
8,14,7,7,1,0,4,C
11,15,7,8,5,3,7,E
10,14,7,7,2,1,4,C
10,12,6,8,4,2,4,C
2,8,6,2,3,2,2,A
2,9,10,2,3,2,2,A
9,9,6,6,4,2,6,G
1,8,7,2,2,1,3,A
7,12,7,8,1,1,4,C
9,8,11,8,4,3,5,E
4,8,7,8,3,3,3,A
8,14,9,8,4,3,4,C
6,11,8,7,3,3,4,C
7,9,11,8,2,2,4,E
3,4,7,3,7,4,5,G
5,10,9,7,2,1,4,G
2,10,11,3,6,4,4,A
1,8,7,6,2,1,1,A
5,11,9,7,4,3,4,G
0,8,7,4,1,0,1,A
4,8,7,8,4,5,4,A
8,13,8,8,2,1,4,C
7,12,10,7,4,3,4,G
6,10,8,7,3,5,8,E
1,8,6,5,3,2,2,A
2,7,8,7,4,3,8,G
8,8,11,9,3,3,4,E
9,11,7,7,2,1,4,C
4,10,6,7,3,5,8,E
1,8,7,2,2,1,2,A
5,9,7,7,2,1,4,G
5,10,10,7,3,3,4,G
1,8,8,4,3,2,2,A
2,8,7,4,4,2,2,A
4,5,8,6,3,3,2,A
8,9,11,10,4,4,5,E
4,8,7,8,6,8,5,A
8,9,11,8,5,5,4,E
5,11,6,8,4,6,7,E
2,10,7,6,3,4,4,C
11,15,7,6,4,2,7,E
7,10,12,9,3,1,3,C
3,10,9,8,4,2,8,C
8,9,7,7,3,4,6,E
1,8,7,5,3,2,2,A
7,8,11,7,4,5,6,E
5,10,9,7,3,2,4,G
2,10,11,4,5,3,4,A
7,12,11,9,4,2,3,C
7,12,9,8,2,1,4,C
5,8,7,8,5,5,4,A
0,8,7,5,3,3,1,A
8,13,8,8,2,2,4,C
2,12,9,1,9,4,5,A
4,6,10,3,9,4,4,G
11,14,6,7,5,2,4,C
8,9,10,10,8,3,7,E
3,10,11,2,3,2,3,A
6,11,11,8,2,1,2,C
7,9,7,7,3,3,5,E
7,8,11,7,4,4,4,E
7,12,11,8,5,3,3,C
7,9,11,8,1,1,4,E
9,13,7,7,4,4,7,E
6,8,7,7,2,2,5,E
5,8,6,9,6,8,8,A
7,10,7,6,4,3,3,G
4,9,9,7,1,1,3,G
7,9,11,7,2,2,4,E
7,11,11,7,5,4,4,G
8,12,11,8,3,1,3,C
2,5,7,4,5,2,5,G
6,11,7,6,5,5,7,C
